data,categoria,titulo,nome_arquivo
09/12/2021,Bureaucratic,"Remarks by Jonas Gahr Støre, Prime Minister, Norway at the 8 th ACT-Accelerator Facilitation Council","2021_12_09_Bureaucratic_Remarks by Jonas Gahr Støre, Prime Minister, Norway at the 8 th ACT-Accelerator Facilitation Council.pdf"
03/12/2020,Report, Republic of Korea Leading by example,2020_12_03_Report_Eurasia report_ Republic of Korea Leading by example.pdf
09/12/2021,Budget,8th Facilitation Council Financing Framework,2021_12_09_Budget_8th Facilitation Council Financing Framework.pdf
12/04/2021,Budget,ACT-A prioritized strategy and budget for 2021,2021_04_12_Budget_ACT-A prioritized strategy and budget for 2021.pdf
19/11/2020,Bureaucratic,Letter to the G20,2020_11_19_Bureaucratic_Letter to the G20.pdf
02/03/2023,Evaluation,Inter-Agency Humanitarian Evaluation COVID-19 Annexes,2023_03_02_Evaluation_Inter-Agency Humanitarian Evaluation COVID-19 Annexes.pdf
00/01/2022,Budget, The Gavi COVAX AMC Investment Opportunity,2022_01_Budget_Break COVID Now_ The Gavi COVAX AMC Investment Opportunity.pdf
05/01/2021,Bureaucratic,Summary of the Co-Chairs of the 3rd ACT Accelerator Facilitation Council,2021_01_05_Bureaucratic_Summary of the Co-Chairs of the 3rd ACT Accelerator Facilitation Council.pdf
00/00/2022,Evaluation,TOR Independent Evaluation Reference Group ACT-A evaluation,2022_Evaluation_TOR Independent Evaluation Reference Group ACT-A evaluation.pdf
03/12/2020,Report, Sweden The need for strong donor leadership in the fight against COVID-19,2020_12_03_Report_Eurasia report_ Sweden The need for strong donor leadership in the fight against COVID-19.pdf
08/12/2021,Bureaucratic,ACT Accelerator Facilitation Council 8th Council meeting – Agenda,2021_12_08_Bureaucratic_ACT Accelerator Facilitation Council 8th Council meeting – Agenda.pdf
10/05/2021,Bureaucratic,6th ACT Accelerator Facilitation Council meeting agenda,2021_05_10_Bureaucratic_6th ACT Accelerator Facilitation Council meeting agenda.pdf
09/12/2021,Showcase,Update on COVID-19 Vaccine in Africa,2021_12_09_Showcase_Update on COVID-19 Vaccine in Africa.pdf
12/05/2021,Bureaucratic,The List of AMC-Eligeble Economies,2021_05_12_Bureaucratic_The List of AMC-Eligeble Economies.pdf
02/02/2021,Bureaucratic,Joint press release from Ministers Sanner and Mboweni,2021_02_02_Bureaucratic_Joint press release from Ministers Sanner and Mboweni.pdf
28/10/2022,Strategic Plan,ACT-Accelerator Transition Plan (1 Oct 2022 to 31 Mar 2023),2022_10_28_Strategic Plan_ACT-Accelerator Transition Plan (1 Oct 2022 to 31 Mar 2023).pdf
18/03/2022,Report, 1 October – 31 December 2021,2022_03_18_Report_ACT-Accelerator_ Quarterly Update Q4_ 1 October – 31 December 2021.pdf
14/12/2020,Bureaucratic,Statement of the Co-Chairs of the 3rd ACT Accelerator Facilitation Council,2020_12_14_Bureaucratic_Statement of the Co-Chairs of the 3rd ACT Accelerator Facilitation Council.pdf
30/06/2022,Bureaucratic,Terms of reference for the External evaluation of ACT-A,2022_06_30_Bureaucratic_Terms of reference for the External evaluation of ACT-A.pdf
17/11/2020,Bureaucratic,Chairs’ Summary of the 2nd Meeting of the Access to Covid-19 Tools (ACT),2020_11_17_Bureaucratic_Chairs’ Summary of the 2nd Meeting of the Access to Covid-19 Tools (ACT).pdf
